授業科目名,担当教員,役職,単位数,必修・選択・自由,開講年次,開講学期,実務経験,備考,シラバスURL
ハングルⅠ,朴 大王,非常勤講師,2,選択,1年（国際学部・芸術学部対象）,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00220703.html
ハングルⅡ,金 栄鎬,教授,2,選択,1年（国際学部対象）,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00220801.html
ハングルⅡ,朴 大王,非常勤講師,2,選択,1年（国際学部・芸術学部・情報科学部対象）,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00220802.html
ハングルⅢ,朴 大王,非常勤講師,2,選択,2年次,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00222001.html
ハングルⅣ,朴 大王,非常勤講師,2,選択,２年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00222101.html
バイオインフォマティクス,鷹野 優,教授,2,選択,３年次,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_29460399.html
バイオインフォマティクスⅠ,鷹野 優,教授,1,選択,３年次,後期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_27440602.html
バイオインフォマティクスⅠ,鷹野 優,教授,1,選択,３年次,後期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_29491701.html
バイオインフォマティクスⅡ,鷹野 優,教授,1,選択,３年次,後期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_27440701.html
バイオインフォマティクスⅡ,鷹野 優,教授,1,選択,３年次,後期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_29491801.html
バイオメカニクス,式田 光宏,教授,2,選択,３年,後期前半,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_29441001.html
バイオ情報学特論,鷹野 優,教授,2,選択,1・2年生,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_6A410101.html
バーチャルリアリティ特論,脇田 航,准教授,2,選択,１，２年,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_68414701.html
パターン認識,三村 和史,教授,2,選択,3年次,前期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_27450301.html
パターン認識,三村 和史,教授,2,選択,３年,前期後半,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_28432101.html
パターン認識特論,岩田 一貴,准教授,2,選択,1・2年次,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_67411501.html
ヒューマンインタフェースⅠ,石光 俊介,教授,2,選択,3年次,前期前半,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_28450601.html
ヒューマンインタフェースⅡ,石光 俊介,教授,2,選択,3年,前期後半,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_28450201.html
ヒューマンコンピュータインタラクション特論,満上 育久,非常勤講師,2,選択,"1,2年次",前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_68411101.html
ヒロシマと核の時代,ロバート ジェイコブズ,教授,2,選択,1st and 2nd year students. Master's Program,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00M11101.html
フィールドワーク論,田川 玄,教授,2,選択,２年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114A0401.html
フランスの文学と文化,大場 静枝,教授,2,選択,２年次以上,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114B1801.html
フランス文学・文化論Ⅰ,大場 静枝,教授,2,選択,博士前期課程１、２年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_51351701.html
フランス文学・文化論Ⅱ,大場 静枝,教授,2,選択,博士前期課程１、２年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_51351801.html
フランス語Ⅰ,大場 静枝,教授,2,選択,１年（情報科学部・芸術学部対象）,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_002203JG.html
フランス語Ⅰ,大場 静枝,教授,2,選択,１年（国際学部対象）,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_002203K1.html
フランス語Ⅱ,クラヴィエ フランク,非常勤講師,2,選択,１年（全学部対象）,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_002204K1.html
フランス語Ⅲ,大場 静枝,教授,2,選択,２年（全学部対象）,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00221601.html
フランス語Ⅳ,大場 静枝,教授,2,選択,２年（全学部対象）,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00221701.html
プレゼンテーション技法,永山 忍,教授,1,必須,4年次,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_26433601.html
プレゼンテーション技法,永山 忍,教授,1,必須,3年次,後期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_26433603.html
プレゼンテーション技法,三村 和史,教授,1,必須,４年次,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_27433901.html
プレゼンテーション技法,小野 貴彦,教授,1,必須,4年次,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_28433501.html
プレゼンテーション技法,鷹野 優,教授,1,必須,４年次,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_29431901.html
プレゼンテーション概論,中村 圭,准教授,2,選択,１年次、２年次、全学部,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00140801.html
プログラミングⅠ,梶山 朋子,准教授,2,必須,1年次,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_20410501.html
プログラミングⅠ演習,その他 教員,助教,1,必須,1年次,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_20410699.html
プログラミングⅡ,池田 徹志,准教授,2,必須,1年次,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_20411201.html
プログラミングⅡ,福田 浩士,准教授,2,必須,2年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_20411202.html
プログラミングⅡ,常盤 達司,准教授,2,必須,1年次,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_20411203.html
プログラミングⅡ演習,井上 伸二,助教,1,必須,1年次,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_20411301.html
プログラミングⅡ演習,福田 浩士,准教授,1,必須,2年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_20411305.html
プログラミングⅡ演習,その他 教員,助教,1,必須,1年次,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_20411399.html
プログラミングⅢ,新 浩一,講師,2,選択,2年,前期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_26433301.html
プログラミングⅢ,田村 慶一,教授,2,選択,２年次,後期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_27433401.html
プログラミングⅢ,島 和之,准教授,2,選択,２年,前期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_28450301.html
プログラミングⅢ,中野 靖久,准教授,2,選択,2年,後期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_29430401.html
プログラミングⅢ演習,田村 慶一,教授,1,選択,２年次,後期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_27433501.html
プログラミングⅢ演習,島 和之,准教授,1,選択,２年,前期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_28460301.html
プログラミング言語特論,川端 英之,准教授,2,選択,１、２年生,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_66410701.html
プロジェクト演習Ⅰ,その他 教員,助教,1,選択,"1, 2 年次",前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_60430599.html
プロジェクト演習Ⅱ,その他 教員,助教,1,選択,"1, 2 年次",後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_60430699.html
マイクロ医用工学特論,式田 光宏,教授,2,選択,１，２年生,後期前半,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_6A411201.html
マクロ経済学Ⅰ,高橋 広雅,教授,2,選択,１年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114D0401.html
マス＆ソーシャルメディア論,井上 泰浩,教授,2,選択,２年,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114A2301.html
マルチメディアデータベース特論,黒木 進,准教授,2,選択,１、２年次,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_67410701.html
マルチメディア情報通信特論,稲村 勝樹,准教授,2,選択,１、２年,前期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_66411301.html
マルチメディア情報通信特論,稲村 勝樹,准教授,2,選択,１、２年,前期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_6A411601.html
マーケティング論Ⅰ,李 玲,准教授,2,選択,２年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114E0501.html
マーケティング論Ⅰ,李 玲,准教授,2,選択,博士前期課程１、２年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_51331501.html
マーケティング論Ⅱ,李 玲,准教授,2,選択,２年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114E0601.html
マーケティング論Ⅱ,李 玲,准教授,2,選択,博士前期課程１、２年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_51331601.html
ミクロ経済学Ⅰ,山根 史博,准教授,2,選択,1年次以上,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114D0201.html
メカトロニクス,小嵜 貴弘,教授,2,選択,３年,前期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_28430801.html
メカトロニクスⅡ,李 仕剛,教授,2,選択,３年,前期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_28440202.html
メディアと社会,渡辺 智恵,教授,2,選択,１・２年,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00110801.html
メディア・リテラシー,井上 泰浩,教授,2,選択,２年,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114A2401.html
モデル化とシミュレーション,岡山 友昭,准教授,2,選択,２年次,後期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_20414701.html
ヨーロッパ国際関係史Ⅰ,大庭 千恵子,教授,2,選択,博士前期課程１・２年次,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_51311501.html
ヨーロッパ国際関係史Ⅱ,大庭 千恵子,教授,2,選択,博士前期課程１・２年次,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_51311601.html
ヨーロッパ政治論,大庭 千恵子,教授,2,選択,2年次以上,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114C4202.html
ラテンアメリカ文化論Ⅰ,吉江 貴文,准教授,2,選択,博士前期課程,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_51341501.html
ラテンアメリカ文化論Ⅱ,吉江 貴文,准教授,2,選択,博士前期課程,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_51341601.html
ラテンアメリカ研究Ⅰ,吉江 貴文,准教授,2,選択,3年次以上,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114A3901.html
ラテンアメリカ研究Ⅱ,吉江 貴文,准教授,2,選択,3年次以上,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114A4001.html
リアルタイムシステム,中田 明夫,教授,2,選択,３年,後期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_28450502.html
リコンフィギャラブルコンピューティング,谷川 一哉,講師,2,選択,3年次,後期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_26440901.html
リーディング・パブリック・ポリシーi,山根 史博,准教授,1,選択,2年次以上,前期前半,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114D4501.html
リーディング・パブリック・ポリシーii,山根 史博,准教授,1,選択,2年次以上,前期後半,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114D4601.html
ロシア国際関係史Ⅰ,斎藤 祥平,准教授,2,選択,博士前期課程１・２年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_51312901.html
ロシア国際関係史Ⅱ,斎藤 祥平,准教授,2,選択,博士前期課程１・２年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_51313001.html
ロシア研究,斎藤 祥平,准教授,2,選択,1年〜,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114C4302.html
ロシア語Ⅰ,斎藤 祥平,准教授,2,選択,1年〜,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00221101.html
ロシア語Ⅱ,斎藤 祥平,准教授,2,選択,1年〜,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00221201.html
ロシア語Ⅲ,斎藤 祥平,准教授,2,選択,２年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00222801.html
ロシア語Ⅳ,Tolstoguzov Sergey,非常勤講師,2,選択,２年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00222901.html
ロボットビジョン特論,李 仕剛,教授,2,選択,１、２年生,前期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_68421001.html
ロボティクスⅠ,岩城 敏,教授,2,選択,３年,前期前半,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_28440301.html
ロボティクスⅡ,岩城 敏,教授,2,選択,３年生,後期前半,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_28440501.html
ロボティクス特論,岩城 敏,教授,2,選択,1年、2年,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_68412301.html
ワイヤレスネットワーク,西 正博,教授,2,選択,３年,後期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_26450601.html
ワイヤレスネットワーク,西 正博,教授,2,選択,３年,後期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_29492001.html
世界の宗教,杉木 恒彦,非常勤講師,2,選択,2年次以上,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00120301.html
中国国際関係史Ⅰ,飯島 典子,准教授,2,選択,博士前期課程１、２年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_51311901.html
中国国際関係史Ⅱ,飯島 典子,准教授,2,選択,博士前期課程１、２年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_51312001.html
中国文化論Ⅰ,飯島 典子,准教授,2,選択,２年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114A3101.html
中国文化論Ⅱ,飯島 典子,准教授,2,選択,２年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114A3201.html
中国語Ⅰ,飯島 典子,准教授,2,選択,１年（情報科学部・芸術学部対象）火・木２限,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_002205J3.html
中国語Ⅰ,丸田 華,非常勤講師,2,選択,１年（情報科学部・芸術学部対象）火・木 １限クラス,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_002205JG.html
中国語Ⅰ,藤原 優美,講師,2,選択,１年（国際学部対象）火・木２限クラス,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_002205K1.html
中国語Ⅱ,藤原 優美,講師,2,選択,１年（情報科学部、芸術学部対象）火・木２限クラス,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_002206JG.html
中国語Ⅱ,欒 竹民,非常勤講師,2,選択,１年（国際学部対象）,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_002206K1.html
中国語Ⅲ,藤原 優美,講師,2,選択,２年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00221801.html
中国語Ⅳ,欒 竹民,非常勤講師,2,選択,2年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00221901.html
中東アラブ研究,田浪 亜央江,准教授,2,選択,2年次,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114A3801.html
